Hole      Core-Sec.-Int.     Depth      Bio.sil.     Age
BDP-96-2    1C    2   1       2.77        4.2       74.7
BDP-96-2    1C    2   3       2.79        4.5       75.1
BDP-96-2    1C    2   5       2.81       11.3       75.6
BDP-96-2    1C    2   7       2.83       11.0       76.1
BDP-96-2    1C    2   9       2.85       12.0       76.6
BDP-96-2    1C    2  11       2.87       15.9       77.1
BDP-96-2    1C    2  13       2.89       15.1       77.5
BDP-96-2    1C    2  15       2.91       14.5       77.9
BDP-96-2    1C    2  18       2.94       14.2       78.6
BDP-96-2    1C    2  19       2.95       15.0       78.8
BDP-96-2    1C    2  21       2.97       11.8       79.3
BDP-96-2    1C    2  23       2.99       14.7       79.7
BDP-96-2      2   1  17       3.03       15.8       80.6
BDP-96-2      2   1  19       3.05       16.6       81.0
BDP-96-2      2   1  23       3.09       13.9       81.9
BDP-96-2      2   1  25       3.11       10.1       82.3
BDP-96-2      2   1  27       3.13        8.4       82.8
BDP-96-2      2   1  29       3.15        8.0       83.2
BDP-96-2      2   1  31       3.17        9.2       83.7
BDP-96-2      2   1  33       3.19       14.0       84.1
BDP-96-2      2   1  35       3.21       10.1       84.5
BDP-96-2      2   1  37       3.23       13.8       85.0
BDP-96-2      2   1  39       3.25       14.7       85.4
BDP-96-2      2   1  41       3.27       15.6       85.9
BDP-96-2      2   1  43       3.29       17.8       86.3
BDP-96-2      2   1  45       3.31       15.6       86.7
BDP-96-2      2   1  47       3.33       19.5       87.2
BDP-96-2      2   1  49       3.35       18.3       87.6
BDP-96-2      2   1  51       3.37       17.6       88.1
BDP-96-2      2   1  53       3.39       16.8       88.5
BDP-96-2      2   1  55       3.41       20.6       88.9
BDP-96-2      2   1  57       3.43       17.3       89.4
BDP-96-2      2   1  59       3.45       14.4       89.8
BDP-96-2      2   1  61       3.47       14.4       90.3
BDP-96-2      2   1  63       3.49       11.0       90.7
BDP-96-2      2   1  65       3.51       10.0       91.1
BDP-96-2      2   1  67       3.53        9.5       91.6
BDP-96-2      2   1  69       3.55        9.3       92.0
BDP-96-2      2   1  71       3.57       13.5       92.5
BDP-96-2      2   1  73       3.59        9.6       92.9
BDP-96-2      2   1  75       3.61        9.9       93.3
BDP-96-2      2   1  77       3.63       14.6       93.8
BDP-96-2      2   1  79       3.65       15.6       94.2
BDP-96-2      2   1  81       3.67       17.1       94.7
BDP-96-2      2   1  83       3.69       19.2       95.1
BDP-96-2      2   1  85       3.71       21.3       95.5
BDP-96-2      2   1  87       3.73       22.8       96.0
BDP-96-2      2   1  91       3.77       32.0       96.9
BDP-96-2      2   1  93       3.79       25.0       97.3
BDP-96-2      2   1  95       3.81       23.5       97.7
BDP-96-2      2   1  97       3.83       21.9       98.2
BDP-96-2      2   1  99       3.85       26.7       98.6
BDP-96-2      2   1 101       3.87       25.8       99.1
BDP-96-2      2   1 103       3.89       22.8       99.5
BDP-96-2      2   1 105       3.91       25.5       99.9
BDP-96-2      2   1 107       3.93       22.7      100.3
BDP-96-2      2   1 109       3.95       20.5      100.6
BDP-96-2      2   1 111       3.97       19.2      101.0
BDP-96-2      2   1 113       3.99       19.1      101.3
BDP-96-2      2   1 115       4.01       18.3      101.6
BDP-96-2      2   1 117       4.03       16.7      102.0
BDP-96-2      2   1 119       4.05       13.5      102.3
BDP-96-2      2   1 121       4.07       13.9      102.6
BDP-96-2      2   1 123       4.09       12.8      103.0
BDP-96-2      2   1 125       4.11       13.5      103.3
BDP-96-2      2   1 127       4.13       17.7      103.7
BDP-96-2      2   1 129       4.15       17.2      104.0
BDP-96-2      2   1 131       4.17       15.4      104.3
BDP-96-2      2   1 133       4.19       25.1      104.7
BDP-96-2      2   1 135       4.21       19.6      105.0
BDP-96-2      2   1 137       4.23       11.3      105.3
BDP-96-2      2   1 139       4.25       10.3      105.7
BDP-96-2      2   1 141       4.27        8.4      106.0
BDP-96-2      2   1 143       4.29        6.6      106.4
BDP-96-2      2   1 145       4.31        4.3      106.7
BDP-96-2      2   1 147       4.33        4.3      107.0
BDP-96-2      2   1 149       4.35        3.7      107.4
BDP-96-2      2   1 151       4.37        3.3      107.7
BDP-96-2      2   1 153       4.39        3.3      108.0
BDP-96-2      2   1 155       4.41        3.5      108.4
BDP-96-2      2   1 157       4.43        3.6      108.7
BDP-96-2      2   1 159       4.45        3.5      109.1
BDP-96-2      2   1 161       4.47        3.5      109.4
BDP-96-2      2   1 163       4.49        2.8      109.7
BDP-96-2      2   1 165       4.51        2.8      110.1
BDP-96-2      2   1 167       4.53        2.9      110.4
BDP-96-2      2   1 169       4.55        2.8      110.8
BDP-96-2      2   1 171       4.57        2.9      111.1
BDP-96-2      2   1 173       4.59        2.9      111.4
BDP-96-2      2   1 175       4.61        3.1      111.8
BDP-96-2      2   1 177       4.63        3.0      112.1
BDP-96-2      2   1 179       4.65        3.4      112.4
BDP-96-2      2   1 181       4.67        3.8      112.8
BDP-96-2      2   1 183       4.69        3.1      113.1
BDP-96-2      2   1 185       4.71        3.3      113.5
BDP-96-2      2   1 187       4.73        4.1      113.8
BDP-96-2      2   1 189       4.75        8.2      114.1
BDP-96-2      2   1 192       4.77       14.7      114.5
BDP-96-2      2   2   0       4.78       27.5      114.6
BDP-96-2      2   2   1       4.79       23.2      114.8
BDP-96-2      2   2   2        4.8       16.3      115.0
BDP-96-2      2   2   3       4.81       17.3      115.1
BDP-96-2      2   2   4       4.82       34.7      115.3
BDP-96-2      2   2   5       4.83       35.2      115.5
BDP-96-2      2   2   6       4.84       36.2      115.6
BDP-96-2      2   2   7       4.85       34.3      115.8
BDP-96-2      2   2   8       4.86       36.5      116.0
BDP-96-2      2   2  10       4.88       35.4      116.3
BDP-98        4   1 145        4.9       30.5      116.7
BDP-98        4   1 147       4.92       30.8      117.0
BDP-98        4   1 149       4.94       30.8      117.3
BDP-98        4   1 151       4.96       29.6      117.7
BDP-98        4   1 153       4.98       30.6      118.0
BDP-98        4   1 155          5       28.9      118.4
BDP-98        4   1 157       5.02       29.9      118.7
BDP-98        4   1 159       5.04       35.3      119.0
BDP-98        4   1 161       5.06       31.3      119.4
BDP-98        4   1 163       5.08       33.2      119.7
BDP-96-2      3   1   4       5.11       35.3      120.2
BDP-96-2      3   1   5       5.12       32.5      120.4
BDP-96-2      3   1   8       5.15       37.7      120.9
BDP-96-2      3   1   9       5.16       37.0      121.1
BDP-96-2      3   1  10       5.17       29.9      121.2
BDP-96-2      3   1  11       5.18       35.2      121.4
BDP-96-2      3   1  12       5.19       43.1      121.6
BDP-96-2      3   1  13        5.2       33.5      121.8
BDP-96-2      3   1  14       5.21       39.9      122.0
BDP-96-2      3   1  15       5.22       37.8      122.3
BDP-96-2      3   1  16       5.23       42.8      122.5
BDP-96-2      3   1  18       5.25       37.3      123.0
BDP-96-2      3   1  19       5.26       31.8      123.2
BDP-96-2      3   1  20       5.27       37.7      123.4
BDP-96-2      3   1  21       5.28       30.8      123.6
BDP-96-2      3   1  22       5.29       34.3      123.9
BDP-96-2      3   1  23        5.3       33.6      124.1
BDP-96-2      3   1  24       5.31       42.4      124.3
BDP-96-2      3   1  25       5.32       32.8      124.6
BDP-96-2      3   1  26       5.33       36.4      124.8
BDP-96-2      3   1  27       5.34       32.2      125.0
BDP-96-2      3   1  28       5.35       35.6      125.3
BDP-96-2      3   1  29       5.36       33.5      125.5
BDP-96-2      3   1  30       5.37       36.8      125.7
BDP-96-2      3   1  31       5.38       30.8      126.0
BDP-96-2      3   1  32       5.39       38.7      126.2
BDP-96-2      3   1  35       5.42       32.0      126.9
BDP-96-2      3   1  36       5.43       32.5      127.1
BDP-96-2      3   1  37       5.44       28.3      127.4
BDP-96-2      3   1  38       5.45       28.7      127.6
BDP-96-2      3   1  39       5.46       28.0      127.8
BDP-96-2      3   1  40       5.47       30.5      128.0
BDP-96-2      3   1  41       5.48       10.7      128.3
BDP-96-2      3   1  42       5.49        6.6      128.5
BDP-96-2      3   144.3        5.5        7.7      128.7
BDP-96-2      3   1  47       5.53        7.0      129.4
BDP-96-2      3   1  49       5.55        5.4      129.9
BDP-96-2      3   1  51       5.57        6.6      130.4
BDP-96-2      3   1  53       5.59        7.9      130.8
BDP-96-2      3   1  55       5.61        6.5      131.3
BDP-96-2      3   1  57       5.63        7.0      131.7
BDP-96-2      3   1  59       5.65        6.4      132.2
BDP-96-2      3   1  61       5.67        4.5      132.7
BDP-96-2      3   1  63       5.69        4.3      133.1
BDP-96-2      3   1  65       5.71        4.3      133.6
BDP-96-2      3   1  67       5.73        3.9      134.1
BDP-96-2      3   1  69       5.75        3.8      134.5
BDP-96-2      3   1  71       5.77        3.6      135.0
BDP-96-2      3   1  75       5.81        3.3      135.9
BDP-96-2      3   1  77       5.83        3.4      136.4
BDP-96-2      3   1  79       5.85        2.9      136.8
BDP-96-2      3   1  81       5.87        3.2      137.3
BDP-96-2      3   1  83       5.89        1.8      137.8
BDP-96-2      3   1  85       5.91        3.1      138.2
BDP-96-2      3   1  87       5.93        3.2      138.7
BDP-96-2      3   1  89       5.95        3.3      139.2
BDP-96-2      3   1  91       5.97        3.5      139.6
BDP-96-2      3   1  93       5.99        3.6      140.1
BDP-96-2      3   1  95       6.01        3.7      140.5
BDP-96-2      3   1  97       6.03        4.3      141.0
BDP-96-2      3   1  99       6.05        3.8      141.5
BDP-96-2      3   1 105       6.11        7.0      142.9
BDP-96-2      3   1 109       6.15        7.0      143.8
BDP-96-2      3   1 111       6.17        7.3      144.3
BDP-96-2      3   1 113       6.19        7.9      144.7
BDP-96-2      3   1 115       6.21        6.3      145.0
BDP-96-2      3   1 117       6.23        6.3      145.3
BDP-96-2      3   1 119       6.25        7.6      145.6
BDP-96-2      3   1 121       6.27        6.5      145.9
BDP-96-2      3   1 123       6.29        6.2      146.2
BDP-96-2      3   1 125       6.31        5.6      146.5
BDP-96-2      3   1 127       6.33        5.2      146.8
BDP-96-2      3   1 129       6.35        5.7      147.1
BDP-96-2      3   1 133       6.39        5.7      147.7
BDP-96-2      3   1 135       6.41        5.6      148.0
BDP-96-2      3   1 137       6.43        4.7      148.3
BDP-96-2      3   1 139       6.45        5.0      148.6
BDP-96-2      3   1 141       6.47        4.7      148.9
BDP-96-2      3   1 143       6.49        4.5      149.1
BDP-96-2      3   1 147       6.53        4.7      149.7
BDP-96-2      3   1 149       6.55        3.9      150.0
BDP-96-2      3   1 151       6.57        5.6      150.3
BDP-96-2      3   1 153       6.59        6.0      150.6
BDP-96-2      3   1 155       6.61        5.0      150.9
BDP-96-2      3   1 157       6.63        4.9      151.2
