Hole      Core-Sec.-Int.     Depth      Bio.sil.     Age
BDP-96-2      9   1 111      19.17       42.1      413.2
BDP-96-2      9   1 113      19.19       39.4      413.5
BDP-96-2      9   1 115      19.21       37.5      413.9
BDP-96-2      9   1 117      19.23       37.5      414.2
BDP-96-2      9   1 119      19.25       37.4      414.6
BDP-96-2      9   1 121      19.27       32.6      414.9
BDP-96-2      9   1 123      19.29       31.6      415.3
BDP-96-2      9   1 125      19.31       33.5      415.6
BDP-96-2      9   1 127      19.33       33.3      416.0
BDP-96-2      9   1 129      19.35       34.1      416.3
BDP-96-2      9   1 131      19.37       34.6      416.7
BDP-96-2      9   1 133      19.39       29.6      417.0
BDP-96-2      9   1 135      19.41       24.0      417.4
BDP-96-2      9   1 137      19.43       29.7      417.7
BDP-96-2      9   1 139      19.45       33.0      418.1
BDP-96-2      9   1 141      19.47       29.6      418.4
BDP-96-2      9   1 143      19.49       29.1      418.8
BDP-96-2      9   1 145      19.51       34.8      419.1
BDP-96-2      9   1 147      19.53       31.2      419.5
BDP-96-2      9   1 149      19.55       29.2      419.8
BDP-96-2      9   1 151      19.57       33.2      420.2
BDP-96-2      9   1 153      19.59       30.8      420.5
BDP-96-2      9   1 155      19.61       23.4      420.9
BDP-96-2      9   1 157      19.63       23.4      421.2
BDP-96-2      9   1 159      19.65       25.1      421.6
BDP-96-2      9   1 161      19.67       29.1      421.9
BDP-96-2      9   1 163      19.69       29.6      422.3
BDP-96-2      9   1 165      19.71       26.8      422.6
BDP-96-2      9   1 167      19.73       25.2      423.0
BDP-96-2      9   1 169      19.75       30.2      423.3
BDP-96-2      9   1 171      19.77       35.3      423.7
BDP-96-2      9   1 173      19.79       33.4      424.0
BDP-96-2      9   1 175      19.81       30.4      424.4
BDP-96-2      9   1 177      19.83       28.6      424.8
BDP-96-2      9   1 179      19.85       28.6      425.1
BDP-96-2      9   1 181      19.87       22.5      425.5
BDP-96-2      9   1 183      19.89       24.5      425.9
BDP-96-2      9   1 185      19.91       23.4      426.3
BDP-96-2      9   1 187      19.93       21.9      426.6
BDP-96-2      9   1 189      19.95       18.3      427.0
BDP-96-2      9   2   1      19.97       17.2      427.4
BDP-96-2      9   2   3      19.99       17.6      427.7
BDP-96-2      9   2   5      20.01       16.2      428.1
BDP-96-2      9   2   7      20.03       16.3      428.5
BDP-96-2      9   2   9      20.05        9.0      428.8
BDP-96-2      9   2  11      20.07        6.6      429.2
BDP-96-2      9   2  13      20.09        4.6      429.6
BDP-96-2      9   2  15      20.11        4.4      429.9
BDP-96-2      9   2  17      20.13        5.5      430.3
BDP-96-2      9   2  19      20.15        4.7      430.7
BDP-96-1      7   1  48      20.18        5.0      431.2
BDP-96-1      7   1  52      20.22        4.8      432.0
BDP-96-1      7   1  56      20.26        4.8      432.7
BDP-96-1      7   1  60       20.3        4.6      433.5
BDP-96-1      7   1  64      20.34        4.6      434.2
BDP-96-1      7   1  68      20.38        5.1      434.9
BDP-96-1      7   1  72      20.42        4.4      435.7
BDP-96-2     10   1   3      20.46        3.7      436.4
BDP-96-2     10   1   5      20.48        5.4      436.8
BDP-96-2     10   1   7       20.5        3.2      437.1
BDP-96-2     10   1   9      20.52        3.3      437.5
BDP-96-2     10   1  11      20.54        3.4      437.9
BDP-96-2     10   1  13      20.56        3.8      438.3
BDP-96-2     10   1  15      20.58        3.2      438.6
BDP-96-2     10   1  17       20.6        4.8      439.0
BDP-96-2     10   1  19      20.62        4.5      439.4
BDP-96-2     10   1  21      20.64        4.7      439.7
BDP-96-2     10   1  23      20.66        5.4      440.1
BDP-96-2     10   1  25      20.68        5.4      440.5
BDP-96-2     10   1  27       20.7        5.4      440.8
BDP-96-2     10   1  29      20.72        5.4      441.2
BDP-96-2     10   1  31      20.74        6.2      441.6
BDP-96-2     10   1  33      20.76        5.5      441.9
BDP-96-2     10   1  35      20.78        5.6      442.3
BDP-96-2     10   1  37       20.8        5.2      442.7
BDP-96-2     10   1  39      20.82        4.6      443.1
BDP-96-2     10   1  41      20.84        5.0      443.4
BDP-96-2     10   1  43      20.86        5.5      443.8
BDP-96-2     10   1  45      20.88        5.3      444.2
BDP-96-2     10   1  47       20.9        6.1      444.5
BDP-96-2     10   1  49      20.92        4.8      444.9
BDP-96-2     10   1  51      20.94        4.6      445.3
BDP-96-2     10   1  53      20.96        5.0      445.6
BDP-96-2     10   1  55      20.98        5.1      446.0
BDP-96-2     10   1  57         21        4.5      446.4
BDP-96-2     10   1  59      21.02        4.8      446.7
BDP-96-2     10   1  61      21.04        4.4      447.1
BDP-96-2     10   1  63      21.06        4.5      447.5
BDP-96-2     10   1  65      21.08        5.2      447.8
BDP-96-2     10   1  67       21.1        5.1      448.2
BDP-96-2     10   1  69      21.12        5.1      448.6
BDP-96-2     10   1  71      21.14        5.2      449.0
BDP-96-2     10   1  73      21.16        5.5      449.3
BDP-96-2     10   1  75      21.18        5.3      449.7
BDP-96-2     10   1  77       21.2       10.5      450.1
BDP-96-2     10   1  79      21.22        9.9      450.4
BDP-96-2     10   1  81      21.24        4.0      450.8
BDP-96-2     10   1  83      21.26        3.0      451.2
BDP-96-2     10   1  85      21.28        3.5      451.5
BDP-96-2     10   1  87       21.3        4.8      451.9
BDP-96-2     10   1  89      21.32        4.9      452.3
BDP-96-2     10   1  91      21.34        5.7      452.6
BDP-96-2     10   1  93      21.36        5.7      453.0
BDP-96-2     10   1  95      21.38        6.4      453.4
BDP-96-2     10   1  97       21.4        5.1      453.8
BDP-96-2     10   1  99      21.42        6.5      454.1
BDP-96-2     10   1 101      21.44        6.9      454.5
BDP-96-2     10   1 103      21.46        7.6      454.9
BDP-96-2     10   1 105      21.48        5.6      455.2
BDP-96-2     10   1 107       21.5        5.4      455.6
BDP-96-2     10   1 109      21.52        4.5      456.0
BDP-96-2     10   1 111      21.54        5.1      456.3
BDP-96-2     10   1 113      21.56        4.8      456.7
BDP-96-2     10   1 115      21.58        4.3      457.1
BDP-96-2     10   1 117       21.6        4.7      457.4
BDP-96-2     10   1 119      21.62        4.1      457.8
BDP-96-2     10   1 121      21.64        4.4      458.2
BDP-96-2     10   1 123      21.66        4.8      458.6
BDP-96-2     10   1 125      21.68        5.3      458.9
BDP-96-2     10   1 127       21.7        6.8      459.3
BDP-96-2     10   1 129      21.72        3.0      459.8
BDP-96-2     10   1 131     21.735        3.4      460.2
BDP-96-2     10   1 131     21.739        2.5      460.3
BDP-96-2     10   1 133      21.76        3.5      460.9
BDP-96-2     10   1 135      21.78        5.5      461.4
BDP-96-2     10   1 137       21.8        6.8      461.9
BDP-96-2     10   1 139      21.82        3.6      462.4
BDP-96-2     10   1 141      21.84        4.8      463.0
BDP-96-2     10   1 143      21.86        3.6      463.5
BDP-96-2     10   1 145      21.88        3.4      464.0
BDP-96-2     10   1 147       21.9        3.4      464.6
BDP-96-2     10   1 149      21.92        3.6      465.1
BDP-96-2     10   1 151      21.94        3.6      465.6
BDP-96-2     10   1 153      21.96        3.7      466.1
BDP-96-2     10   1 155      21.98        4.0      466.7
BDP-96-2     10   1 157         22        4.1      467.2
BDP-96-2     10   1 159      22.02        4.1      467.7
BDP-96-2     10   1 161      22.04        4.1      468.2
BDP-96-2     10   1 163      22.06        4.1      468.8
BDP-96-2     10   1 165      22.08        4.2      469.3
BDP-96-2     10   1 167       22.1        4.4      469.8
BDP-96-2     10   1 169      22.12        5.2      470.3
BDP-96-2     10   1 171      22.14        7.0      470.9
BDP-96-2     10   1 173      22.16       11.7      471.4
BDP-96-2     10   1 175      22.18       13.1      471.9
BDP-96-2     10   1 177       22.2        7.7      472.4
BDP-96-2     10   1 179      22.22        4.5      473.0
BDP-96-2     10   1 181      22.24        4.9      473.5
BDP-96-2     10   2   1      22.28       12.0      474.5
BDP-96-2     10   2   3       22.3       11.2      475.1
BDP-96-2     10   2   5      22.32       11.3      475.6
BDP-96-2     10   2   7      22.34       15.3      476.1
BDP-96-2     10   2   9      22.36       13.1      476.6
BDP-96-2     10   2  11      22.38       14.9      477.2
BDP-96-2     10   2  13       22.4       19.1      477.7
BDP-96-2     10   2  15      22.42       24.8      478.2
BDP-96-2     10   2  17      22.44       25.2      478.7
BDP-96-2     10   2  19      22.46       27.0      479.3
BDP-96-2     10   2  21      22.48       30.0      479.8
BDP-96-2     11   1   3      22.54       15.6      481.1
BDP-96-2     11   1   5      22.56       22.7      481.5
BDP-96-2     11   1   7      22.58       27.5      481.9
BDP-96-2     11   1   9       22.6       26.0      482.3
BDP-96-2     11   1  11      22.62       26.6      482.7
BDP-96-2     11   1  13      22.64       26.8      483.2
BDP-96-2     11   1  15      22.66       30.3      483.6
BDP-96-2     11   1  17      22.68       27.5      484.0
BDP-96-2     11   1  19       22.7       20.2      484.4
BDP-96-2     11   1  21      22.72       12.6      484.9
BDP-96-2     11   1  23      22.74       25.1      485.3
BDP-96-2     11   1  25      22.76       30.8      485.7
BDP-96-2     11   1  27      22.78       34.0      486.1
BDP-96-2     11   1  29       22.8       33.4      486.6
BDP-96-2     11   1  31      22.82       34.5      487.0
BDP-96-2     11   1  33      22.84       37.3      487.4
BDP-96-2     11   1  35      22.86       34.5      487.8
BDP-96-2     11   1  37      22.88       26.9      488.2
BDP-96-2     11   1  39       22.9       30.5      488.7
BDP-96-2     11   1  41      22.92       27.6      489.1
BDP-96-2     11   1  43      22.94       29.4      489.5
BDP-96-2     11   1  45      22.96       29.1      489.9
BDP-96-2     11   1  47      22.98       31.7      490.4
BDP-96-2     11   1  49         23       28.2      490.8
BDP-96-2     11   1  51      23.02       34.8      491.2
BDP-96-2     11   1  53      23.04       34.3      491.6
BDP-96-2     11   1  55      23.06       22.2      492.0
BDP-96-2     11   1  57      23.08       22.4      492.5
BDP-96-2     11   1  59       23.1       30.6      492.9
BDP-96-2     11   1  61      23.12       28.6      493.3
BDP-96-2     11   1  63      23.14       29.4      493.7
BDP-96-2     11   1  65      23.16       34.6      494.2
BDP-96-2     11   1  67      23.18       27.6      494.6
BDP-96-2     11   1  69       23.2       27.9      495.0
BDP-96-2     11   1  71      23.22       28.9      495.4
BDP-96-2     11   1  73      23.24       26.6      495.9
BDP-96-2     11   1  75      23.26       26.5      496.3
BDP-96-2     11   1  77      23.28       29.1      496.7
BDP-96-2     11   1  79       23.3       26.8      497.1
BDP-96-2     11   1  81      23.32       25.3      497.5
BDP-96-2     11   1  83      23.34       26.6      498.0
BDP-96-2     11   1  85      23.36       26.8      498.4
BDP-96-2     11   1  87      23.38       22.3      498.8
BDP-96-2     11   1  89       23.4       18.3      499.2
BDP-96-2     11   1  91      23.42       16.3      499.7
BDP-96-2     11   1  93      23.44       21.1      500.1
BDP-96-2     11   1  95      23.46       27.8      500.5
BDP-96-2     11   1  97      23.48       28.6      500.9
BDP-96-2     11   1  99       23.5       23.7      501.5
BDP-96-2     11   1 101      23.52       20.0      502.0
BDP-96-2     11   1 103      23.54       18.8      502.6
BDP-96-2     11   1 105      23.56       16.0      503.2
BDP-96-2     11   1 107      23.58       12.0      503.7
BDP-96-2     11   1 109       23.6       13.9      504.3
BDP-96-2     11   1 111      23.62       17.2      504.8
BDP-96-2     11   1 113      23.64       18.6      505.4
BDP-96-2     11   1 115      23.66       20.4      506.0
BDP-96-2     11   1 117      23.68       21.0      506.5
BDP-96-2     11   1 119       23.7       18.0      507.1
BDP-96-2     11   1 121      23.72       19.6      507.6
BDP-96-2     11   1 123      23.74       21.5      508.2
BDP-96-2     11   1 125      23.76       21.0      508.7
BDP-96-2     11   1 127      23.78       23.8      509.3
BDP-96-2     11   1 129       23.8       20.8      509.9
BDP-96-2     11   1 131      23.82       19.3      510.4
BDP-96-2     11   1 133      23.84       16.5      511.0
BDP-96-2     11   1 135      23.86       17.0      511.5
BDP-96-2     11   1 137      23.88       15.8      512.1
BDP-96-2     11   1 139       23.9       16.3      512.7
BDP-96-2     11   1 141      23.92       17.8      513.2
BDP-96-2     11   1 143      23.94       16.4      513.8
BDP-96-2     11   1 145      23.96       17.2      514.3
BDP-96-2     11   1 147      23.98       18.7      514.9
BDP-96-2     11   1 149         24       19.2      515.4
BDP-96-2     11   1 151      24.02       18.0      516.0
BDP-96-2     11   1 153      24.04       20.0      516.6
BDP-96-2     11   1 155      24.06       21.4      517.1
BDP-96-2     11   1 157      24.08       21.8      517.7
BDP-96-2     11   1 159       24.1       21.5      518.2
BDP-96-2     11   1 161      24.12       20.8      518.8
BDP-96-2     11   1 163      24.14       22.7      519.4
BDP-96-2     11   1 165      24.16       23.1      519.9
BDP-96-2     11   1 167      24.18       24.6      520.5
BDP-96-2     11   1 169       24.2       24.1      521.0
BDP-96-2     11   1 171      24.22       24.7      521.6
BDP-96-2     11   1 173      24.24       24.0      522.2
BDP-96-2     11   1 175      24.26       25.1      522.7
BDP-96-2     11   1 177      24.28       23.9      523.2
BDP-96-2     11   1 179       24.3       21.5      523.6
BDP-96-2     11   1 181      24.32       18.5      524.0
BDP-96-2     11   1 183      24.34       12.5      524.5
BDP-96-2     11   1 185      24.36       16.1      524.9
BDP-96-2     11   1 187      24.38       21.3      525.4
BDP-96-2     11   1 189       24.4       26.2      525.8
BDP-96-2     11   2   1      24.41       16.5      526.1
BDP-96-2     11   2   3      24.43       18.0      526.5
BDP-96-2     11   2   5      24.45       16.4      526.9
BDP-96-2     11   2   7      24.47       17.3      527.4
BDP-96-2     11   2   9      24.49       17.8      527.8
BDP-96-2     11   2  11      24.51       14.7      528.3
BDP-96-2     11   2  13      24.53       11.7      528.7
BDP-96-2     11   2  15      24.55       11.2      529.2
BDP-96-2     11   2  17      24.57        9.7      529.6
BDP-96-2     11   2  19      24.59       10.5      530.1
BDP-96-2     12   1   9       24.7        8.9      532.5
BDP-96-2     12   1  11      24.72        8.9      533.0
BDP-96-2     12   1  13      24.74        8.8      533.4
BDP-96-2     12   1  15      24.76        9.3      533.8
BDP-96-2     12   1  17      24.78        9.6      534.3
BDP-96-2     12   1  19       24.8        9.4      534.7
BDP-96-2     12   1  21      24.82       10.1      535.2
BDP-96-2     12   1  23      24.84       10.6      535.6
BDP-96-2     12   1  25      24.86        9.1      536.1
BDP-96-2     12   1  27      24.88        7.7      536.5
BDP-96-2     12   1  29       24.9        6.0      537.0
BDP-96-2     12   1  31      24.92        5.2      537.4
BDP-96-2     12   1  33      24.94        7.6      537.9
BDP-96-2     12   1  35      24.96        8.1      538.3
BDP-96-2     12   1  37      24.98        7.8      538.7
BDP-96-2     12   1  39         25        8.2      539.2
BDP-96-2     12   1  41      25.02        9.5      539.6
BDP-96-2     12   1  43      25.04       10.4      540.1
BDP-96-2     12   1  45      25.06        9.8      540.5
BDP-96-2     12   1  47      25.08        9.9      541.0
BDP-96-2     12   1  49       25.1       10.6      541.4
BDP-96-2     12   1  51      25.12        9.8      541.9
BDP-96-2     12   1  53      25.14       11.6      542.3
BDP-96-2     12   1  55      25.16        9.3      542.8
BDP-96-2     12   1  57      25.18        9.4      543.2
BDP-96-2     12   1  59       25.2        9.2      543.6
BDP-96-2     12   1  61      25.22       10.0      544.1
BDP-96-2     12   1  63      25.24       10.8      544.5
BDP-96-2     12   1  65      25.26       12.6      545.0
BDP-96-2     12   1  67      25.28       14.1      545.4
BDP-96-2     12   1  69       25.3        8.9      545.9
BDP-96-2     12   1  71      25.32        9.2      546.3
BDP-96-2     12   1  73      25.34       11.2      546.8
BDP-96-2     12   1  75      25.36       18.1      547.2
BDP-96-2     12   1  77      25.38       17.4      547.7
BDP-96-2     12   1  79       25.4       11.8      548.1
BDP-96-2     12   1  81      25.42        9.7      548.5
BDP-96-2     12   1  83      25.44       10.2      549.0
BDP-96-2     12   1  85      25.46       15.0      549.4
BDP-96-2     12   1  87      25.48       21.3      549.9
BDP-96-2     12   1  89       25.5       22.4      550.3
BDP-96-2     12   1  91      25.52       20.5      550.9
BDP-96-2     12   1  93      25.54       12.6      551.4
BDP-96-2     12   1  95      25.56        8.0      552.0
BDP-96-2     12   1  97      25.58        6.7      552.5
BDP-96-2     12   1  99       25.6        7.9      553.1
BDP-96-2     12   1 101      25.62        5.3      553.7
BDP-96-2     12   1 103      25.64       11.0      554.2
BDP-96-2     12   1 105      25.66       17.1      554.8
BDP-96-2     12   1 107      25.68       17.9      555.3
BDP-96-2     12   1 109       25.7       17.9      555.9
BDP-96-2     12   1 111      25.72       11.2      556.4
BDP-96-2     12   1 113      25.74       10.8      557.0
BDP-96-2     12   1 115      25.76       12.8      557.5
BDP-96-2     12   1 117      25.78       10.3      558.1
BDP-96-2     12   1 119       25.8       12.1      558.7
BDP-96-2     12   1 121      25.82       17.4      559.2
BDP-96-2     12   1 123      25.84       18.6      559.8
BDP-96-2     12   1 126      25.87       27.5      560.6
BDP-96-2     12   1 127      25.88       28.3      560.9
BDP-96-2     12   1 129       25.9       33.4      561.4
BDP-96-2     12   1 131      25.92       31.8      562.0
BDP-96-2     12   1 133      25.94       32.0      562.5
BDP-96-2     12   1 135      25.96       31.5      563.1
BDP-96-2     12   1 137      25.98       34.5      563.7
BDP-96-2     12   1 139         26       39.9      564.2
BDP-96-2     12   1 141      26.02       42.4      564.8
BDP-96-2     12   1 143      26.04       47.4      565.3
BDP-96-2     12   1 145      26.06       45.3      565.9
BDP-96-2     12   1 147      26.08       43.9      566.4
BDP-96-2     12   1 149       26.1       45.5      567.0
BDP-96-2     12   1 151      26.12       41.9      567.5
BDP-96-2     12   1 153      26.14       33.8      568.1
BDP-96-2     12   1 155      26.16       34.7      568.7
BDP-96-2     12   1 157      26.18       44.1      569.2
BDP-96-2     12   1 159       26.2       41.2      569.8
BDP-96-2     12   1 161      26.22       41.2      570.3
BDP-96-2     12   1 163      26.24       41.9      570.9
BDP-96-2     12   1 165      26.26       40.2      571.4
BDP-96-2     12   1 167      26.28       42.8      572.0
BDP-96-2     12   1 169       26.3       46.1      572.5
BDP-96-2     12   1 171      26.32       42.7      573.4
BDP-96-2     12   1 173      26.34       43.3      574.2
BDP-96-2     12   1 175      26.36       42.7      575.1
BDP-96-2     12   1 177      26.38       40.2      575.9
BDP-96-2     12   1 179       26.4       42.5      576.8
BDP-96-2     12   1 181      26.42       44.1      577.6
BDP-96-2     12   1 183      26.44       45.5      578.4
BDP-96-2     12   1 185      26.46       41.1      579.3
BDP-96-2     12   1 187      26.48       38.9      580.1
BDP-96-2     12   1 189       26.5       38.4      581.0
BDP-96-2     12   1 191      26.52       41.0      581.8
BDP-96-2     12   1 193      26.54       23.2      582.7
BDP-96-2     12   2   1      26.56       37.8      583.5
BDP-96-2     12   2   3      26.58       32.7      584.4
BDP-96-2     12   2   5       26.6       30.7      585.2
BDP-96-2     12   2   7      26.62       30.1      586.0
BDP-96-2     12   2   9      26.64       25.6      586.9
BDP-96-2     12   2  11      26.66       21.8      587.7
BDP-96-2     12   2  13      26.68       24.8      588.6
BDP-96-2     12   2  15       26.7       16.1      589.4
BDP-96-2     12   2  17      26.72       10.1      590.3
BDP-96-2     12   2  19      26.74        9.6      591.1
BDP-96-2     12   2  21      26.76        9.8      592.0
BDP-96-2     13   1   3      26.82       11.7      594.5
BDP-96-2     13   1   5      26.84        9.4      594.8
BDP-96-2     13   1   7      26.86        7.4      595.1
BDP-96-2     13   1   9      26.88        5.4      595.4
BDP-96-2     13   1  11       26.9        4.4      595.8
BDP-96-2     13   1  13      26.92        4.1      596.1
BDP-96-2     13   1  15      26.94        3.8      596.4
BDP-96-2     13   1  17      26.96        3.8      596.7
BDP-96-2     13   1  18      26.97        3.9      596.9
BDP-96-2     13   1  21         27        3.8      597.4
BDP-96-2     13   1  23      27.02        3.9      597.7
BDP-96-2     13   1  25      27.04        3.8      598.0
BDP-96-2     13   1  27      27.06        3.2      598.3
BDP-96-2     13   1  29      27.08        3.8      598.6
BDP-96-2     13   1  31       27.1        3.8      599.0
BDP-96-2     13   1  33      27.12        4.0      599.3
BDP-96-2     13   1  35      27.14        3.8      599.6
BDP-96-2     13   1  37      27.16        4.1      599.9
BDP-96-2     13   1  39      27.18        4.1      600.2
BDP-96-2     13   1  41       27.2        4.4      600.5
BDP-96-2     13   1  43      27.22        4.1      600.9
BDP-96-2     13   1  45      27.24        4.3      601.2
BDP-96-2     13   1  47      27.26        4.3      601.5
BDP-96-2     13   1  49      27.28        4.2      601.8
BDP-96-2     13   1  51       27.3        3.9      602.1
BDP-96-2     13   1  53      27.32        4.1      602.5
BDP-96-2     13   1  55      27.34        3.7      602.8
BDP-96-2     13   1  57      27.36        3.9      603.1
BDP-96-2     13   1  59      27.38        4.1      603.4
BDP-96-2     13   1  61       27.4        4.0      603.7
BDP-96-2     13   1  63      27.42        3.9      604.1
BDP-96-2     13   1  65      27.44        3.9      604.4
BDP-96-2     13   1  67      27.46        4.0      604.7
BDP-96-2     13   1  69      27.48        4.0      605.0
BDP-96-2     13   1  71       27.5        3.8      605.3
BDP-96-2     13   1  73      27.52        3.7      605.7
BDP-96-2     13   1  75      27.54        3.8      606.0
BDP-96-2     13   1  77      27.56        3.9      606.3
BDP-96-2     13   1  79      27.58        3.6      606.6
BDP-96-2     13   1  81       27.6        4.3      606.9
BDP-96-2     13   1  83      27.62        4.0      607.2
BDP-96-2     13   1  85      27.64        4.0      607.6
BDP-96-2     13   1  87      27.66        3.9      607.9
BDP-96-2     13   1  89      27.68        4.1      608.2
BDP-96-2     13   1  91       27.7        4.0      608.5
BDP-96-2     13   1  93      27.72        4.0      608.8
BDP-96-2     13   1  95      27.74        4.0      609.2
BDP-96-2     13   1  97      27.76        3.9      609.5
BDP-96-2     13   1  99      27.78        4.3      609.8
BDP-96-2     13   1 101       27.8        4.0      610.1
BDP-96-2     13   1 103      27.82        4.8      610.4
BDP-96-2     13   1 105      27.84        6.6      610.8
BDP-96-2     13   1 107      27.86       12.0      611.1
BDP-96-2     13   1 109      27.88       12.7      611.4
BDP-96-2     13   1 111       27.9       19.4      611.7
BDP-96-2     13   1 113      27.92       22.4      612.0
BDP-96-2     13   1 115      27.94       25.1      612.3
BDP-96-2     13   1 117      27.96       25.8      612.7
BDP-96-2     13   1 119      27.98       30.6      613.0
BDP-96-2     13   1 121         28       28.8      613.3
BDP-96-2     13   1 123      28.02       20.1      613.6
BDP-96-2     13   1 125      28.04       32.0      613.9
BDP-96-2     13   1 127      28.06       24.7      614.3
BDP-96-2     13   1 129      28.08       19.5      614.6
BDP-96-2     13   1 131       28.1       17.3      614.9
BDP-96-2     13   1 132      28.11       43.8      615.1
BDP-96-2     13   1 135      28.14       40.4      615.5
BDP-96-2     13   1 137      28.16       44.0      615.9
BDP-96-2     13   1 139      28.18       37.9      616.3
BDP-96-2     13   1 141       28.2       29.4      616.8
BDP-96-2     13   1 143      28.22       35.8      617.2
BDP-96-2     13   1 145      28.24       38.3      617.7
BDP-96-2     13   1 147      28.26       39.4      618.2
BDP-96-2     13   1 149      28.28       33.0      618.6
BDP-96-2     13   1 151       28.3       17.8      619.1
BDP-96-2     13   1 153      28.32       13.2      619.6
BDP-96-2     13   1 155      28.34       14.6      620.0
BDP-96-2     13   1 157      28.36       13.7      620.5
BDP-96-2     13   1 159      28.38       10.2      620.9
BDP-96-2     13   1 161       28.4       10.1      621.4
BDP-96-2     13   1 163      28.42        7.8      621.9
BDP-96-2     13   1 165      28.44        6.2      622.3
BDP-96-2     13   1 167      28.46        7.7      622.8
BDP-96-2     13   1 169      28.48        5.5      623.2
BDP-96-2     13   1 171       28.5        5.6      623.7
BDP-96-2     13   1 173      28.52        5.6      624.2
BDP-96-2     13   1 175      28.54        5.4      624.6
BDP-96-2     13   1 177      28.56        7.7      625.1
BDP-96-2     13   1 179      28.58        5.6      625.6
BDP-96-2     13   1 181       28.6        7.7      626.0
BDP-96-2     13   1 183      28.62        5.5      626.5
BDP-96-2     13   1 185      28.64        3.9      626.9
BDP-96-2     13   1 187      28.66        4.0      627.4
BDP-96-2     13   1 189      28.68        3.8      627.9
BDP-96-2     13   1 191       28.7        4.0      628.3
BDP-96-2     13   2   1      28.72        3.8      628.8
BDP-96-2     13   2   3      28.74        3.7      629.3
BDP-96-2     13   2   5      28.76        3.6      629.7
BDP-96-2     13   2   7      28.78        3.0      630.2
BDP-96-2     13   2   9       28.8        3.8      630.6
BDP-96-2     13   2  11      28.82        4.0      631.1
BDP-96-2     13   2  13      28.84        4.2      631.6
BDP-96-2     13   2  15      28.86        3.8      632.0
BDP-96-2     13   2  17      28.88        3.7      632.5
BDP-96-2     13   2  19       28.9        3.2      633.0
BDP-96-2     13   2  21      28.92        3.6      633.4
BDP-96-2     13   2  23      28.94        3.8      633.9
BDP-96-2     14   1   7         29        6.0      635.3
BDP-96-2     14   1   9      29.02        5.5      635.7
BDP-96-2     14   1  11      29.04        5.6      636.2
BDP-96-2     14   1  13      29.06        6.9      636.7
BDP-96-2     14   1  15      29.08        6.5      637.1
BDP-96-2     14   1  17       29.1        5.8      637.6
BDP-96-2     14   1  19      29.12        6.0      638.0
BDP-96-2     14   1  21      29.14        6.7      638.5
BDP-96-2     14   1  23      29.16        6.4      639.0
BDP-96-2     14   1  25      29.18        6.8      639.4
BDP-96-2     14   1  27       29.2        6.2      640.0
BDP-96-2     14   1  29      29.22        6.4      640.5
BDP-96-2     14   1  31      29.24        4.7      641.1
BDP-96-2     14   1  33      29.26        5.6      641.7
BDP-96-2     14   1  35      29.28        5.8      642.2
BDP-96-2     14   1  37       29.3        5.3      642.8
BDP-96-2     14   1  39      29.32        3.8      643.4
BDP-96-2     14   1  41      29.34        4.1      643.9
BDP-96-2     14   1  43      29.36        4.0      644.5
BDP-96-2     14   1  45      29.38        5.7      645.0
BDP-96-2     14   1  47       29.4        5.5      645.6
BDP-96-2     14   1  49      29.42        5.5      646.2
BDP-96-2     14   1  51      29.44        5.8      646.7
BDP-96-2     14   1  53      29.46        5.9      647.3
BDP-96-2     14   1  55      29.48        4.5      647.8
BDP-96-2     14   1  57       29.5        4.9      648.4
BDP-96-2     14   1  59      29.52        4.3      649.0
BDP-96-2     14   1  61      29.54        5.4      649.5
BDP-96-2     14   1  63      29.56        5.6      650.1
BDP-96-2     14   1  65      29.58        5.2      650.6
BDP-96-2     14   1  67       29.6        5.8      651.2
BDP-96-2     14   1  69      29.62        4.5      651.8
BDP-96-2     14   1  71      29.64        6.8      652.3
BDP-96-2     14   1  73      29.66        8.3      652.9
BDP-96-2     14   1  75      29.68        6.6      653.4
BDP-96-2     14   1  77       29.7        8.1      654.0
BDP-96-2     14   1  79      29.72       11.4      654.6
BDP-96-2     14   1  81      29.74        8.9      655.1
BDP-96-2     14   1  83      29.76        6.6      655.7
BDP-96-2     14   1  85      29.78        5.2      656.2
BDP-96-2     14   1  87       29.8        4.9      656.8
BDP-96-2     14   1  89      29.82        5.8      657.4
BDP-96-2     14   1  91      29.84        6.0      657.9
BDP-96-2     14   1  93      29.86        6.8      658.5
BDP-96-2     14   1  95      29.88        7.9      659.0
BDP-96-2     14   1  97       29.9       11.2      659.6
BDP-96-2     14   1  99      29.92        8.9      660.2
BDP-96-2     14   1 101      29.94        8.3      660.7
BDP-96-2     14   1 103      29.96        6.7      661.3
BDP-96-2     14   1 105      29.98        7.8      661.8
BDP-96-2     14   1 107         30        9.7      662.4
BDP-96-2     14   1 109      30.02        9.5      663.0
BDP-96-2     14   1 111      30.04        7.6      663.5
BDP-96-2     14   1 113      30.06        6.0      664.1
BDP-96-2     14   1 115      30.08        8.1      664.7
BDP-96-2     14   1 117       30.1        9.0      665.2
BDP-96-2     14   1 119      30.12        8.8      665.8
BDP-96-2     14   1 121      30.14        6.0      666.4
BDP-96-2     14   1 123      30.16        5.7      667.0
BDP-96-2     14   1 125      30.18        5.7      667.6
BDP-96-2     14   1 127       30.2        5.5      668.2
BDP-96-2     14   1 129      30.22        5.1      668.9
BDP-96-2     14   1 131      30.24        5.2      669.5
BDP-96-2     14   1 133      30.26        4.2      670.1
