"Age","Picea.sect..Eupicea","P..s.g.Haplo.T","Larix","Betula","Alnus","Salix","Poaceae","Cyperaceae","Artemisia","Ericales","Cphae","Papae","Ranae","Tha","Sax","Lyc.a.T","Sel.r","Sph"
421.55,13.91,0.26,1.31,34.65,36.75,0.52,4.72,6.56,0,0.26,0,0,0.26,0.26,0,0,0.48,38.89
423.79,29.75,0.25,2.45,32.63,15.81,1.27,5.83,4.48,0.17,0.25,0.17,0.25,0.25,0.08,0,0.6,0.37,10.66
424.67,3.65,0.84,0.56,65.17,5.06,1.4,8.71,10.11,0.28,0.56,0.28,0.56,0.84,0,0,0.2,0.61,25.56
425.95,0,0.98,0,41.69,4.56,1.95,21.17,20.2,0,1.63,2.61,2.28,0,0,0,0.77,2.89,34.68
427,0.32,0,1.29,53.05,2.89,1.93,18.97,9.32,1.61,2.89,0.64,1.61,0,0.32,0.64,0.24,3.39,20.34
427.6,0,0.63,0,29.75,0.95,0,35.44,15.82,3.16,4.11,0.95,3.16,0,1.9,0.63,0.38,4.41,30.84
428.2,0,0,0,3.72,1.12,1.12,53.9,7.43,3.72,0,1.86,8.18,5.58,7.81,0,0,3.03,1.35
1057.19,0,1.06,2.12,22.28,25.2,1.33,28.12,2.12,1.06,1.86,0.27,0.8,0.8,0.27,1.59,1.57,0.39,19.69
1058.49,0,0.68,1.13,29.93,20.18,0.45,30.84,0.68,2.95,2.49,0,2.04,0.23,0,1.59,0.51,0.34,22.2
1059.6,0,0,1.64,30.41,21.1,1.92,21.37,1.1,3.29,3.01,0.82,0.82,1.37,0,1.92,1.16,0.39,26.64
1061.8,0,0.53,1.34,28.07,24.87,1.07,21.93,1.87,2.14,2.14,0,1.07,0.8,0.27,0.53,1.39,0.4,22.22
1062.58,0.66,2.64,1.98,33.41,33.19,1.1,10.11,3.52,0.66,2.42,0.88,0,0.22,0.44,0.44,1.48,0.66,19.77
1063.21,1.55,5.08,1.27,43.36,28.81,1.27,3.39,1.98,1.41,2.68,0.28,0,0.28,0.14,0,2.38,0.52,21.2
1064.56,3.6,3.96,0.18,26.98,39.93,2.34,2.34,4.5,0.36,0.72,0.36,1.26,0,0.18,0.36,2.28,0.76,10.5
1066.56,2.56,9.51,0.75,33.12,37.39,1.71,1.07,1.71,0.11,1.28,0,0,0,0,0.21,0,0.1,4.82
1067.42,6.51,13.9,0.65,30.51,31.16,1.19,1.74,2.5,0,0.54,0,0,0.33,0,0.22,0.51,0.41,3.4
1068.24,6.46,9.22,0.66,45.59,24.9,2.37,0.4,1.05,0.13,0.4,0,0,0,0,0,0.13,0,3.05
1070.53,17.13,19.75,0.5,31.88,19.13,1,0.5,0.63,0,0.25,0,0,0,0,0.13,0.24,0.12,2.99
1072.92,16.58,6.76,0.25,36.61,22.11,1.23,0.86,1.23,0,0.49,0,0,0.12,0,0.12,0.22,0.11,9.49
1074.46,7.58,7.93,1.17,48.6,13.05,0.58,0.35,1.86,0.12,0.12,0,0,0,0,0,0.33,0,3.33
1074.97,11.76,9.75,0.62,35.76,15.17,0.77,0,1.86,0,0.31,0,0,0,0,0,0.14,0,4.98
1077.58,5.65,3.64,0.73,60.66,17.85,1.28,0.36,2.91,0,0.18,0,0,0,0,0,0.17,0.17,5.81
1083.93,0.19,0,2.08,57.55,28.68,1.32,0.94,3.21,0,0.57,0,0,0,0,0,0.36,0.18,2.89
1085.99,0,0.61,0.61,33.28,53.89,2.9,1.07,2.9,0,0.31,0.15,0.31,0,0,1.22,0,0.14,6.12
1091.42,0,1.03,0,19.59,6.19,3.09,49.48,0,1.03,1.03,3.09,7.22,1.03,0,0,0,0.79,20.47
